1	-0.109818	-0.0995677	-0.249714	-0.285491	-0.484156	-0.420987	-0.0538226	-0.313024	-0.322526	-0.158028	-0.344664	-0.241428
-0.109818	1	0.372432	-0.188743	-0.142274	-0.0238265	-0.3701	-0.0595632	0.331084	0.147375	-0.214706	-0.00589781	-0.343509
-0.0995677	0.372432	1	-0.0569638	-0.0817375	0.166686	-0.187651	0.0062875	0.248875	0.218927	-0.0223996	0.117839	-0.155537
-0.249714	-0.188743	-0.0569638	1	0.447457	0.21797	0.36163	0.0617406	0.115639	0.141739	0.354066	0.354747	0.202438
-0.285491	-0.142274	-0.0817375	0.447457	1	0.250141	0.179048	0.185486	0.242016	0.126895	0.322934	0.351705	0.226417
-0.484156	-0.0238265	0.166686	0.21797	0.250141	1	0.203105	-0.0249668	0.216222	0.398911	0.146266	0.330451	0.306627
-0.420987	-0.3701	-0.187651	0.36163	0.179048	0.203105	1	-0.0451204	-0.167258	0.149099	0.125084	0.286181	0.229586
-0.0538226	-0.0595632	0.0062875	0.0617406	0.185486	-0.0249668	-0.0451204	1	0.164617	0.0400587	0.184344	0.0671041	0.13544
-0.313024	0.331084	0.248875	0.115639	0.242016	0.216222	-0.167258	0.164617	1	0.0925798	0.108087	0.202716	-0.047969
-0.322526	0.147375	0.218927	0.141739	0.126895	0.398911	0.149099	0.0400587	0.0925798	1	-0.0930131	0.257858	0.0891866
-0.158028	-0.214706	-0.0223996	0.354066	0.322934	0.146266	0.125084	0.184344	0.108087	-0.0930131	1	0.0199096	0.219679
-0.344664	-0.00589781	0.117839	0.354747	0.351705	0.330451	0.286181	0.0671041	0.202716	0.257858	0.0199096	1	0.0283093
-0.241428	-0.343509	-0.155537	0.202438	0.226417	0.306627	0.229586	0.13544	-0.047969	0.0891866	0.219679	0.0283093	1
